dataSize: 40000, timeCut: 1d, nEpochs: 300, batchSize: 1024, lr: 1.000
nn.Sequential {
  [input -> (1) -> (2) -> (3) -> (4) -> (5) -> (6) -> (7) -> output]
  (1): nn.Linear(586 -> 500)
  (2): nn.ReLU
  (3): nn.Linear(500 -> 100)
  (4): nn.ReLU
  (5): nn.Dropout(0.500000)
  (6): nn.Linear(100 -> 1)
  (7): nn.Sigmoid
}
nn.BCECriterion
Epoch  0 | train loss: 0.408 | val loss: 0.350 | val auc: 72.56%
Epoch  1 | train loss: 0.355 | val loss: 0.338 | val auc: 74.79%
Epoch  2 | train loss: 0.347 | val loss: 0.395 | val auc: 73.73%
Epoch  3 | train loss: 0.345 | val loss: 0.337 | val auc: 76.45%
Epoch  4 | train loss: 0.336 | val loss: 0.335 | val auc: 77.64%
Epoch  5 | train loss: 0.333 | val loss: 0.332 | val auc: 77.89%
Epoch  6 | train loss: 0.332 | val loss: 0.372 | val auc: 79.11%
Epoch  7 | train loss: 0.333 | val loss: 0.323 | val auc: 78.88%
Epoch  8 | train loss: 0.331 | val loss: 0.318 | val auc: 79.24%
Epoch  9 | train loss: 0.327 | val loss: 0.315 | val auc: 79.77%
Epoch 10 | train loss: 0.328 | val loss: 0.313 | val auc: 79.96%
Epoch 11 | train loss: 0.327 | val loss: 0.312 | val auc: 80.43%
Epoch 12 | train loss: 0.326 | val loss: 0.380 | val auc: 78.51%
Epoch 13 | train loss: 0.320 | val loss: 0.324 | val auc: 80.44%
Epoch 14 | train loss: 0.324 | val loss: 0.319 | val auc: 80.19%
Epoch 15 | train loss: 0.317 | val loss: 0.321 | val auc: 81.53%
Epoch 16 | train loss: 0.318 | val loss: 0.309 | val auc: 80.92%
Epoch 17 | train loss: 0.319 | val loss: 0.313 | val auc: 81.55%
Epoch 18 | train loss: 0.318 | val loss: 0.310 | val auc: 81.71%
Epoch 19 | train loss: 0.319 | val loss: 0.359 | val auc: 80.79%
Epoch 20 | train loss: 0.316 | val loss: 0.301 | val auc: 82.11%
Epoch 21 | train loss: 0.319 | val loss: 0.307 | val auc: 81.80%
Epoch 22 | train loss: 0.309 | val loss: 0.298 | val auc: 82.42%
Epoch 23 | train loss: 0.316 | val loss: 0.326 | val auc: 82.07%
Epoch 24 | train loss: 0.316 | val loss: 0.302 | val auc: 82.08%
Epoch 25 | train loss: 0.310 | val loss: 0.316 | val auc: 82.03%
Epoch 26 | train loss: 0.315 | val loss: 0.306 | val auc: 82.44%
Epoch 27 | train loss: 0.310 | val loss: 0.307 | val auc: 82.36%
Epoch 28 | train loss: 0.302 | val loss: 0.294 | val auc: 83.07%
Epoch 29 | train loss: 0.318 | val loss: 0.303 | val auc: 82.31%
Epoch 30 | train loss: 0.307 | val loss: 0.309 | val auc: 83.01%
Epoch 31 | train loss: 0.310 | val loss: 0.314 | val auc: 83.03%
Epoch 32 | train loss: 0.305 | val loss: 0.315 | val auc: 82.99%
Epoch 33 | train loss: 0.311 | val loss: 0.307 | val auc: 82.85%
Epoch 34 | train loss: 0.315 | val loss: 0.332 | val auc: 82.37%
Epoch 35 | train loss: 0.314 | val loss: 0.296 | val auc: 82.79%
Epoch 36 | train loss: 0.317 | val loss: 0.305 | val auc: 82.76%
Epoch 37 | train loss: 0.311 | val loss: 0.300 | val auc: 82.98%
Epoch 38 | train loss: 0.313 | val loss: 0.317 | val auc: 83.23%
Epoch 39 | train loss: 0.321 | val loss: 0.306 | val auc: 82.82%
Epoch 40 | train loss: 0.306 | val loss: 0.300 | val auc: 83.21%
Epoch 41 | train loss: 0.308 | val loss: 0.296 | val auc: 83.42%
Epoch 42 | train loss: 0.302 | val loss: 0.291 | val auc: 83.36%
Epoch 43 | train loss: 0.307 | val loss: 0.299 | val auc: 83.15%
Epoch 44 | train loss: 0.304 | val loss: 0.314 | val auc: 83.32%
Epoch 45 | train loss: 0.300 | val loss: 0.306 | val auc: 83.54%
Epoch 46 | train loss: 0.299 | val loss: 0.325 | val auc: 83.25%
Epoch 47 | train loss: 0.309 | val loss: 0.306 | val auc: 83.68%
Epoch 48 | train loss: 0.302 | val loss: 0.304 | val auc: 83.46%
0.5                    of 20                    
Epoch 49 | train loss: 0.300 | val loss: 0.292 | val auc: 83.62%
Epoch 50 | train loss: 0.288 | val loss: 0.294 | val auc: 83.88%
Epoch 51 | train loss: 0.287 | val loss: 0.288 | val auc: 84.01%
Epoch 52 | train loss: 0.286 | val loss: 0.287 | val auc: 84.02%
Epoch 53 | train loss: 0.287 | val loss: 0.287 | val auc: 84.07%
Epoch 54 | train loss: 0.284 | val loss: 0.286 | val auc: 84.14%
Epoch 55 | train loss: 0.287 | val loss: 0.286 | val auc: 84.11%
Epoch 56 | train loss: 0.286 | val loss: 0.288 | val auc: 84.19%
Epoch 57 | train loss: 0.286 | val loss: 0.285 | val auc: 84.27%
Epoch 58 | train loss: 0.285 | val loss: 0.286 | val auc: 84.05%
Epoch 59 | train loss: 0.288 | val loss: 0.290 | val auc: 84.18%
Epoch 60 | train loss: 0.285 | val loss: 0.287 | val auc: 84.35%
Epoch 61 | train loss: 0.285 | val loss: 0.284 | val auc: 84.35%
Epoch 62 | train loss: 0.284 | val loss: 0.303 | val auc: 84.34%
Epoch 63 | train loss: 0.288 | val loss: 0.284 | val auc: 84.37%
Epoch 64 | train loss: 0.291 | val loss: 0.290 | val auc: 84.24%
Epoch 65 | train loss: 0.287 | val loss: 0.284 | val auc: 84.32%
Epoch 66 | train loss: 0.286 | val loss: 0.284 | val auc: 84.34%
Epoch 67 | train loss: 0.282 | val loss: 0.296 | val auc: 84.31%
Epoch 68 | train loss: 0.291 | val loss: 0.285 | val auc: 84.54%
Epoch 69 | train loss: 0.285 | val loss: 0.285 | val auc: 84.38%
Epoch 70 | train loss: 0.287 | val loss: 0.285 | val auc: 84.44%
Epoch 71 | train loss: 0.281 | val loss: 0.288 | val auc: 84.18%
Epoch 72 | train loss: 0.282 | val loss: 0.296 | val auc: 84.49%
Epoch 73 | train loss: 0.286 | val loss: 0.285 | val auc: 84.50%
Epoch 74 | train loss: 0.285 | val loss: 0.285 | val auc: 84.45%
Epoch 75 | train loss: 0.287 | val loss: 0.297 | val auc: 84.33%
Epoch 76 | train loss: 0.283 | val loss: 0.309 | val auc: 84.32%
Epoch 77 | train loss: 0.286 | val loss: 0.284 | val auc: 84.52%
Epoch 78 | train loss: 0.283 | val loss: 0.282 | val auc: 84.62%
Epoch 79 | train loss: 0.286 | val loss: 0.302 | val auc: 84.57%
Epoch 80 | train loss: 0.284 | val loss: 0.291 | val auc: 84.50%
Epoch 81 | train loss: 0.283 | val loss: 0.282 | val auc: 84.70%
Epoch 82 | train loss: 0.282 | val loss: 0.285 | val auc: 84.69%
Epoch 83 | train loss: 0.286 | val loss: 0.282 | val auc: 84.65%
Epoch 84 | train loss: 0.283 | val loss: 0.283 | val auc: 84.57%
Epoch 85 | train loss: 0.279 | val loss: 0.288 | val auc: 84.61%
Epoch 86 | train loss: 0.280 | val loss: 0.289 | val auc: 84.74%
Epoch 87 | train loss: 0.286 | val loss: 0.286 | val auc: 84.75%
Epoch 88 | train loss: 0.282 | val loss: 0.300 | val auc: 84.72%
Epoch 89 | train loss: 0.286 | val loss: 0.302 | val auc: 84.64%
Epoch 90 | train loss: 0.286 | val loss: 0.281 | val auc: 84.71%
Epoch 91 | train loss: 0.278 | val loss: 0.288 | val auc: 84.60%
Epoch 92 | train loss: 0.284 | val loss: 0.304 | val auc: 84.58%
Epoch 93 | train loss: 0.284 | val loss: 0.282 | val auc: 84.69%
Epoch 94 | train loss: 0.276 | val loss: 0.288 | val auc: 84.73%
Epoch 95 | train loss: 0.279 | val loss: 0.283 | val auc: 84.93%
Epoch 96 | train loss: 0.284 | val loss: 0.283 | val auc: 84.59%
Epoch 97 | train loss: 0.280 | val loss: 0.286 | val auc: 84.70%
Epoch 98 | train loss: 0.277 | val loss: 0.321 | val auc: 84.62%
0.25                    f 20                    
Epoch 99 | train loss: 0.288 | val loss: 0.290 | val auc: 84.87%
Epoch 100 | train loss: 0.273 | val loss: 0.280 | val auc: 85.02%
Epoch 101 | train loss: 0.272 | val loss: 0.280 | val auc: 84.99%
Epoch 102 | train loss: 0.271 | val loss: 0.281 | val auc: 85.03%
Epoch 103 | train loss: 0.272 | val loss: 0.280 | val auc: 84.94%
Epoch 104 | train loss: 0.269 | val loss: 0.279 | val auc: 85.09%
Epoch 105 | train loss: 0.270 | val loss: 0.279 | val auc: 85.06%
Epoch 106 | train loss: 0.271 | val loss: 0.278 | val auc: 85.12%
Epoch 107 | train loss: 0.272 | val loss: 0.279 | val auc: 85.12%
Epoch 108 | train loss: 0.270 | val loss: 0.279 | val auc: 85.10%
Epoch 109 | train loss: 0.271 | val loss: 0.279 | val auc: 85.09%
Epoch 110 | train loss: 0.270 | val loss: 0.279 | val auc: 85.12%
Epoch 111 | train loss: 0.271 | val loss: 0.280 | val auc: 85.08%
Epoch 112 | train loss: 0.268 | val loss: 0.281 | val auc: 85.19%
Epoch 113 | train loss: 0.270 | val loss: 0.285 | val auc: 85.02%
Epoch 114 | train loss: 0.271 | val loss: 0.281 | val auc: 85.16%
Epoch 115 | train loss: 0.270 | val loss: 0.279 | val auc: 85.14%
Epoch 116 | train loss: 0.268 | val loss: 0.278 | val auc: 85.23%
Epoch 117 | train loss: 0.268 | val loss: 0.283 | val auc: 85.25%
Epoch 118 | train loss: 0.267 | val loss: 0.279 | val auc: 85.11%
Epoch 119 | train loss: 0.267 | val loss: 0.278 | val auc: 85.20%
Epoch 120 | train loss: 0.269 | val loss: 0.278 | val auc: 85.23%
Epoch 121 | train loss: 0.270 | val loss: 0.294 | val auc: 85.05%
Epoch 122 | train loss: 0.268 | val loss: 0.278 | val auc: 85.28%
Epoch 123 | train loss: 0.268 | val loss: 0.278 | val auc: 85.24%
Epoch 124 | train loss: 0.267 | val loss: 0.280 | val auc: 85.20%
Epoch 125 | train loss: 0.267 | val loss: 0.281 | val auc: 85.22%
Epoch 126 | train loss: 0.267 | val loss: 0.278 | val auc: 85.27%
Epoch 127 | train loss: 0.267 | val loss: 0.284 | val auc: 85.08%
Epoch 128 | train loss: 0.271 | val loss: 0.282 | val auc: 85.19%
Epoch 129 | train loss: 0.266 | val loss: 0.279 | val auc: 85.28%
Epoch 130 | train loss: 0.267 | val loss: 0.278 | val auc: 85.25%
Epoch 131 | train loss: 0.269 | val loss: 0.281 | val auc: 85.30%
Epoch 132 | train loss: 0.267 | val loss: 0.277 | val auc: 85.35%
Epoch 133 | train loss: 0.264 | val loss: 0.299 | val auc: 85.15%
Epoch 134 | train loss: 0.268 | val loss: 0.280 | val auc: 85.26%
Epoch 135 | train loss: 0.269 | val loss: 0.279 | val auc: 85.15%
Epoch 136 | train loss: 0.269 | val loss: 0.279 | val auc: 85.30%
Epoch 137 | train loss: 0.267 | val loss: 0.279 | val auc: 85.22%
Epoch 138 | train loss: 0.267 | val loss: 0.279 | val auc: 85.34%
Epoch 139 | train loss: 0.265 | val loss: 0.280 | val auc: 85.24%
Epoch 140 | train loss: 0.266 | val loss: 0.277 | val auc: 85.43%
Epoch 141 | train loss: 0.267 | val loss: 0.284 | val auc: 85.27%
Epoch 142 | train loss: 0.269 | val loss: 0.284 | val auc: 85.14%
Epoch 143 | train loss: 0.265 | val loss: 0.283 | val auc: 85.30%
Epoch 144 | train loss: 0.263 | val loss: 0.281 | val auc: 85.36%
Epoch 145 | train loss: 0.264 | val loss: 0.282 | val auc: 85.26%
Epoch 146 | train loss: 0.264 | val loss: 0.278 | val auc: 85.28%
Epoch 147 | train loss: 0.263 | val loss: 0.277 | val auc: 85.35%
Epoch 148 | train loss: 0.268 | val loss: 0.281 | val auc: 85.19%
0.125                     20                    
Epoch 149 | train loss: 0.266 | val loss: 0.281 | val auc: 85.19%
Epoch 150 | train loss: 0.258 | val loss: 0.276 | val auc: 85.54%
Epoch 151 | train loss: 0.259 | val loss: 0.277 | val auc: 85.49%
Epoch 152 | train loss: 0.257 | val loss: 0.278 | val auc: 85.52%
Epoch 153 | train loss: 0.258 | val loss: 0.278 | val auc: 85.36%
Epoch 154 | train loss: 0.259 | val loss: 0.276 | val auc: 85.50%
Epoch 155 | train loss: 0.258 | val loss: 0.276 | val auc: 85.52%
Epoch 156 | train loss: 0.258 | val loss: 0.279 | val auc: 85.55%
Epoch 157 | train loss: 0.258 | val loss: 0.277 | val auc: 85.48%
Epoch 158 | train loss: 0.258 | val loss: 0.277 | val auc: 85.44%
Epoch 159 | train loss: 0.256 | val loss: 0.276 | val auc: 85.58%
Epoch 160 | train loss: 0.258 | val loss: 0.277 | val auc: 85.50%
Epoch 161 | train loss: 0.257 | val loss: 0.277 | val auc: 85.48%
Epoch 162 | train loss: 0.257 | val loss: 0.280 | val auc: 85.57%
Epoch 163 | train loss: 0.256 | val loss: 0.277 | val auc: 85.56%
Epoch 164 | train loss: 0.257 | val loss: 0.276 | val auc: 85.57%
Epoch 165 | train loss: 0.256 | val loss: 0.276 | val auc: 85.63%
Epoch 166 | train loss: 0.256 | val loss: 0.276 | val auc: 85.63%
Epoch 167 | train loss: 0.254 | val loss: 0.277 | val auc: 85.61%
Epoch 168 | train loss: 0.256 | val loss: 0.279 | val auc: 85.56%
Epoch 169 | train loss: 0.255 | val loss: 0.276 | val auc: 85.61%
Epoch 170 | train loss: 0.255 | val loss: 0.277 | val auc: 85.58%
Epoch 171 | train loss: 0.255 | val loss: 0.276 | val auc: 85.63%
Epoch 172 | train loss: 0.253 | val loss: 0.277 | val auc: 85.58%
Epoch 173 | train loss: 0.255 | val loss: 0.276 | val auc: 85.66%
Epoch 174 | train loss: 0.255 | val loss: 0.276 | val auc: 85.54%
Epoch 175 | train loss: 0.255 | val loss: 0.278 | val auc: 85.67%
Epoch 176 | train loss: 0.254 | val loss: 0.276 | val auc: 85.60%
Epoch 177 | train loss: 0.253 | val loss: 0.279 | val auc: 85.52%
Epoch 178 | train loss: 0.252 | val loss: 0.278 | val auc: 85.64%
Epoch 179 | train loss: 0.257 | val loss: 0.283 | val auc: 85.62%
Epoch 180 | train loss: 0.253 | val loss: 0.276 | val auc: 85.64%
Epoch 181 | train loss: 0.254 | val loss: 0.278 | val auc: 85.65%
Epoch 182 | train loss: 0.253 | val loss: 0.278 | val auc: 85.70%
Epoch 183 | train loss: 0.254 | val loss: 0.275 | val auc: 85.74%
Epoch 184 | train loss: 0.254 | val loss: 0.275 | val auc: 85.72%
Epoch 185 | train loss: 0.253 | val loss: 0.279 | val auc: 85.65%
Epoch 186 | train loss: 0.253 | val loss: 0.276 | val auc: 85.73%
Epoch 187 | train loss: 0.255 | val loss: 0.277 | val auc: 85.52%
Epoch 188 | train loss: 0.253 | val loss: 0.280 | val auc: 85.67%
Epoch 189 | train loss: 0.254 | val loss: 0.275 | val auc: 85.73%
Epoch 190 | train loss: 0.254 | val loss: 0.278 | val auc: 85.62%
Epoch 191 | train loss: 0.253 | val loss: 0.277 | val auc: 85.50%
Epoch 192 | train loss: 0.253 | val loss: 0.277 | val auc: 85.67%
Epoch 193 | train loss: 0.254 | val loss: 0.276 | val auc: 85.66%
Epoch 194 | train loss: 0.251 | val loss: 0.277 | val auc: 85.70%
Epoch 195 | train loss: 0.252 | val loss: 0.280 | val auc: 85.77%
Epoch 196 | train loss: 0.252 | val loss: 0.279 | val auc: 85.72%
Epoch 197 | train loss: 0.255 | val loss: 0.276 | val auc: 85.75%
Epoch 198 | train loss: 0.250 | val loss: 0.276 | val auc: 85.78%
0.0625                    20                    
Epoch 199 | train loss: 0.253 | val loss: 0.275 | val auc: 85.78%
Epoch 200 | train loss: 0.249 | val loss: 0.276 | val auc: 85.82%
Epoch 201 | train loss: 0.247 | val loss: 0.275 | val auc: 85.81%
Epoch 202 | train loss: 0.247 | val loss: 0.276 | val auc: 85.80%
Epoch 203 | train loss: 0.247 | val loss: 0.275 | val auc: 85.80%
Epoch 204 | train loss: 0.248 | val loss: 0.275 | val auc: 85.82%
Epoch 205 | train loss: 0.248 | val loss: 0.275 | val auc: 85.83%
Epoch 206 | train loss: 0.246 | val loss: 0.275 | val auc: 85.78%
Epoch 207 | train loss: 0.246 | val loss: 0.276 | val auc: 85.79%
Epoch 208 | train loss: 0.247 | val loss: 0.275 | val auc: 85.81%
Epoch 209 | train loss: 0.245 | val loss: 0.275 | val auc: 85.84%
Epoch 210 | train loss: 0.245 | val loss: 0.275 | val auc: 85.84%
Epoch 211 | train loss: 0.247 | val loss: 0.276 | val auc: 85.79%
Epoch 212 | train loss: 0.247 | val loss: 0.276 | val auc: 85.78%
Epoch 213 | train loss: 0.247 | val loss: 0.276 | val auc: 85.82%
Epoch 214 | train loss: 0.245 | val loss: 0.276 | val auc: 85.83%
Epoch 215 | train loss: 0.245 | val loss: 0.275 | val auc: 85.82%
Epoch 216 | train loss: 0.245 | val loss: 0.276 | val auc: 85.77%
Epoch 217 | train loss: 0.246 | val loss: 0.275 | val auc: 85.84%
Epoch 218 | train loss: 0.245 | val loss: 0.275 | val auc: 85.88%
Epoch 219 | train loss: 0.247 | val loss: 0.275 | val auc: 85.86%
Epoch 220 | train loss: 0.246 | val loss: 0.275 | val auc: 85.88%
Epoch 221 | train loss: 0.245 | val loss: 0.275 | val auc: 85.85%
Epoch 222 | train loss: 0.244 | val loss: 0.276 | val auc: 85.89%
Epoch 223 | train loss: 0.246 | val loss: 0.275 | val auc: 85.86%
Epoch 224 | train loss: 0.243 | val loss: 0.275 | val auc: 85.86%
Epoch 225 | train loss: 0.247 | val loss: 0.275 | val auc: 85.89%
Epoch 226 | train loss: 0.245 | val loss: 0.275 | val auc: 85.90%
Epoch 227 | train loss: 0.244 | val loss: 0.275 | val auc: 85.87%
Epoch 228 | train loss: 0.245 | val loss: 0.275 | val auc: 85.86%
Epoch 229 | train loss: 0.244 | val loss: 0.275 | val auc: 85.86%
Epoch 230 | train loss: 0.243 | val loss: 0.275 | val auc: 85.90%
Epoch 231 | train loss: 0.244 | val loss: 0.276 | val auc: 85.91%
Epoch 232 | train loss: 0.242 | val loss: 0.275 | val auc: 85.83%
Epoch 233 | train loss: 0.242 | val loss: 0.275 | val auc: 85.87%
Epoch 234 | train loss: 0.242 | val loss: 0.275 | val auc: 85.90%
Epoch 235 | train loss: 0.243 | val loss: 0.277 | val auc: 85.89%
Epoch 236 | train loss: 0.243 | val loss: 0.275 | val auc: 85.81%
Epoch 237 | train loss: 0.243 | val loss: 0.277 | val auc: 85.83%
Epoch 238 | train loss: 0.242 | val loss: 0.275 | val auc: 85.88%
