dataSize: 40000, timeCut: 8h, nEpochs: 300, batchSize: 1024, lr: 1.000
nn.Sequential {
  [input -> (1) -> (2) -> (3) -> (4) -> (5) -> (6) -> (7) -> output]
  (1): nn.Linear(572 -> 500)
  (2): nn.ReLU
  (3): nn.Linear(500 -> 100)
  (4): nn.ReLU
  (5): nn.Dropout(0.500000)
  (6): nn.Linear(100 -> 1)
  (7): nn.Sigmoid
}
nn.BCECriterion
Epoch  0 | train loss: 0.382 | val loss: 0.437 | val auc: 73.30%
Epoch  1 | train loss: 0.353 | val loss: 0.359 | val auc: 74.59%
Epoch  2 | train loss: 0.338 | val loss: 0.350 | val auc: 76.25%
Epoch  3 | train loss: 0.332 | val loss: 0.345 | val auc: 77.00%
Epoch  4 | train loss: 0.330 | val loss: 0.353 | val auc: 77.79%
Epoch  5 | train loss: 0.326 | val loss: 0.349 | val auc: 78.44%
Epoch  6 | train loss: 0.327 | val loss: 0.355 | val auc: 78.26%
Epoch  7 | train loss: 0.328 | val loss: 0.340 | val auc: 78.56%
Epoch  8 | train loss: 0.324 | val loss: 0.346 | val auc: 77.98%
Epoch  9 | train loss: 0.324 | val loss: 0.333 | val auc: 78.74%
Epoch 10 | train loss: 0.322 | val loss: 0.341 | val auc: 79.93%
Epoch 11 | train loss: 0.324 | val loss: 0.337 | val auc: 78.69%
Epoch 12 | train loss: 0.319 | val loss: 0.330 | val auc: 79.48%
Epoch 13 | train loss: 0.320 | val loss: 0.333 | val auc: 79.73%
Epoch 14 | train loss: 0.319 | val loss: 0.354 | val auc: 79.91%
Epoch 15 | train loss: 0.317 | val loss: 0.326 | val auc: 80.32%
Epoch 16 | train loss: 0.314 | val loss: 0.324 | val auc: 80.44%
Epoch 17 | train loss: 0.317 | val loss: 0.441 | val auc: 76.13%
Epoch 18 | train loss: 0.324 | val loss: 0.330 | val auc: 80.28%
Epoch 19 | train loss: 0.316 | val loss: 0.386 | val auc: 80.56%
Epoch 20 | train loss: 0.320 | val loss: 0.328 | val auc: 80.21%
Epoch 21 | train loss: 0.316 | val loss: 0.328 | val auc: 80.71%
Epoch 22 | train loss: 0.315 | val loss: 0.370 | val auc: 79.01%
Epoch 23 | train loss: 0.314 | val loss: 0.324 | val auc: 80.74%
Epoch 24 | train loss: 0.310 | val loss: 0.322 | val auc: 81.07%
Epoch 25 | train loss: 0.308 | val loss: 0.336 | val auc: 81.28%
Epoch 26 | train loss: 0.314 | val loss: 0.319 | val auc: 81.62%
Epoch 27 | train loss: 0.311 | val loss: 0.349 | val auc: 80.92%
Epoch 28 | train loss: 0.309 | val loss: 0.319 | val auc: 81.61%
Epoch 29 | train loss: 0.313 | val loss: 0.327 | val auc: 80.85%
Epoch 30 | train loss: 0.310 | val loss: 0.317 | val auc: 81.82%
Epoch 31 | train loss: 0.305 | val loss: 0.331 | val auc: 82.00%
Epoch 32 | train loss: 0.310 | val loss: 0.319 | val auc: 81.76%
Epoch 33 | train loss: 0.304 | val loss: 0.325 | val auc: 81.74%
Epoch 34 | train loss: 0.307 | val loss: 0.320 | val auc: 81.90%
Epoch 35 | train loss: 0.309 | val loss: 0.327 | val auc: 82.14%
Epoch 36 | train loss: 0.304 | val loss: 0.314 | val auc: 82.15%
Epoch 37 | train loss: 0.305 | val loss: 0.326 | val auc: 82.38%
Epoch 38 | train loss: 0.310 | val loss: 0.321 | val auc: 82.02%
Epoch 39 | train loss: 0.302 | val loss: 0.340 | val auc: 82.27%
Epoch 40 | train loss: 0.306 | val loss: 0.314 | val auc: 82.40%
Epoch 41 | train loss: 0.304 | val loss: 0.311 | val auc: 82.67%
Epoch 42 | train loss: 0.303 | val loss: 0.317 | val auc: 81.66%
Epoch 43 | train loss: 0.302 | val loss: 0.317 | val auc: 82.16%
Epoch 44 | train loss: 0.302 | val loss: 0.328 | val auc: 82.54%
Epoch 45 | train loss: 0.299 | val loss: 0.333 | val auc: 82.48%
Epoch 46 | train loss: 0.305 | val loss: 0.314 | val auc: 82.42%
Epoch 47 | train loss: 0.299 | val loss: 0.310 | val auc: 82.73%
Epoch 48 | train loss: 0.299 | val loss: 0.328 | val auc: 82.00%
training iteration: 23 of 24                    
0.5
Epoch 49 | train loss: 0.300 | val loss: 0.342 | val auc: 82.71%
Epoch 50 | train loss: 0.292 | val loss: 0.310 | val auc: 82.83%
Epoch 51 | train loss: 0.289 | val loss: 0.312 | val auc: 82.98%
Epoch 52 | train loss: 0.289 | val loss: 0.307 | val auc: 83.03%
Epoch 53 | train loss: 0.289 | val loss: 0.309 | val auc: 83.06%
Epoch 54 | train loss: 0.289 | val loss: 0.306 | val auc: 83.13%
Epoch 55 | train loss: 0.289 | val loss: 0.306 | val auc: 83.25%
Epoch 56 | train loss: 0.287 | val loss: 0.306 | val auc: 83.25%
Epoch 57 | train loss: 0.287 | val loss: 0.305 | val auc: 83.27%
Epoch 58 | train loss: 0.290 | val loss: 0.307 | val auc: 83.20%
Epoch 59 | train loss: 0.289 | val loss: 0.305 | val auc: 83.38%
Epoch 60 | train loss: 0.287 | val loss: 0.305 | val auc: 83.36%
Epoch 61 | train loss: 0.288 | val loss: 0.303 | val auc: 83.45%
Epoch 62 | train loss: 0.291 | val loss: 0.307 | val auc: 83.37%
Epoch 63 | train loss: 0.285 | val loss: 0.313 | val auc: 83.41%
Epoch 64 | train loss: 0.285 | val loss: 0.308 | val auc: 83.48%
Epoch 65 | train loss: 0.287 | val loss: 0.320 | val auc: 83.45%
Epoch 66 | train loss: 0.289 | val loss: 0.305 | val auc: 83.45%
Epoch 67 | train loss: 0.286 | val loss: 0.306 | val auc: 83.30%
Epoch 68 | train loss: 0.286 | val loss: 0.309 | val auc: 83.50%
Epoch 69 | train loss: 0.287 | val loss: 0.305 | val auc: 83.65%
Epoch 70 | train loss: 0.285 | val loss: 0.305 | val auc: 83.51%
Epoch 71 | train loss: 0.287 | val loss: 0.325 | val auc: 83.45%
Epoch 72 | train loss: 0.285 | val loss: 0.303 | val auc: 83.64%
Epoch 73 | train loss: 0.288 | val loss: 0.316 | val auc: 83.52%
Epoch 74 | train loss: 0.286 | val loss: 0.313 | val auc: 83.57%
Epoch 75 | train loss: 0.286 | val loss: 0.315 | val auc: 83.61%
Epoch 76 | train loss: 0.286 | val loss: 0.307 | val auc: 83.58%
Epoch 77 | train loss: 0.284 | val loss: 0.304 | val auc: 83.69%
Epoch 78 | train loss: 0.284 | val loss: 0.313 | val auc: 83.77%
