dataSize: 40000, timeCut: 1d, nEpochs: 300, batchSize: 1024, lr: 1.000
nn.Sequential {
  [input -> (1) -> (2) -> (3) -> (4) -> (5) -> (6) -> (7) -> output]
  (1): nn.Linear(586 -> 500)
  (2): nn.ReLU
  (3): nn.Linear(500 -> 100)
  (4): nn.ReLU
  (5): nn.Dropout(0.500000)
  (6): nn.Linear(100 -> 1)
  (7): nn.Sigmoid
}
nn.BCECriterion
Epoch  0 | train loss: 0.414 | val loss: 0.376 | val auc: 72.79%
Epoch  1 | train loss: 0.356 | val loss: 0.358 | val auc: 73.49%
Epoch  2 | train loss: 0.350 | val loss: 0.391 | val auc: 72.93%
Epoch  3 | train loss: 0.339 | val loss: 0.336 | val auc: 75.21%
Epoch  4 | train loss: 0.332 | val loss: 0.338 | val auc: 75.60%
Epoch  5 | train loss: 0.333 | val loss: 0.328 | val auc: 76.93%
Epoch  6 | train loss: 0.335 | val loss: 0.359 | val auc: 76.70%
Epoch  7 | train loss: 0.327 | val loss: 0.386 | val auc: 75.51%
Epoch  8 | train loss: 0.332 | val loss: 0.335 | val auc: 77.26%
Epoch  9 | train loss: 0.329 | val loss: 0.332 | val auc: 77.06%
Epoch 10 | train loss: 0.322 | val loss: 0.334 | val auc: 77.10%
Epoch 11 | train loss: 0.328 | val loss: 0.330 | val auc: 78.15%
Epoch 12 | train loss: 0.326 | val loss: 0.337 | val auc: 78.02%
Epoch 13 | train loss: 0.319 | val loss: 0.321 | val auc: 79.32%
Epoch 14 | train loss: 0.327 | val loss: 0.321 | val auc: 78.68%
Epoch 15 | train loss: 0.317 | val loss: 0.347 | val auc: 77.88%
Epoch 16 | train loss: 0.320 | val loss: 0.322 | val auc: 79.04%
Epoch 17 | train loss: 0.317 | val loss: 0.317 | val auc: 78.75%
Epoch 18 | train loss: 0.318 | val loss: 0.321 | val auc: 79.29%
Epoch 19 | train loss: 0.318 | val loss: 0.328 | val auc: 78.67%
Epoch 20 | train loss: 0.318 | val loss: 0.322 | val auc: 78.97%
Epoch 21 | train loss: 0.316 | val loss: 0.320 | val auc: 79.59%
Epoch 22 | train loss: 0.308 | val loss: 0.315 | val auc: 80.19%
Epoch 23 | train loss: 0.313 | val loss: 0.316 | val auc: 79.82%
Epoch 24 | train loss: 0.311 | val loss: 0.312 | val auc: 81.38%
Epoch 25 | train loss: 0.319 | val loss: 0.328 | val auc: 79.69%
Epoch 26 | train loss: 0.311 | val loss: 0.308 | val auc: 81.21%
Epoch 27 | train loss: 0.316 | val loss: 0.325 | val auc: 79.99%
Epoch 28 | train loss: 0.311 | val loss: 0.322 | val auc: 80.15%
Epoch 29 | train loss: 0.308 | val loss: 0.339 | val auc: 80.84%
Epoch 30 | train loss: 0.311 | val loss: 0.309 | val auc: 81.10%
Epoch 31 | train loss: 0.308 | val loss: 0.315 | val auc: 80.77%
Epoch 32 | train loss: 0.311 | val loss: 0.354 | val auc: 80.31%
Epoch 33 | train loss: 0.307 | val loss: 0.312 | val auc: 80.92%
Epoch 34 | train loss: 0.306 | val loss: 0.304 | val auc: 80.81%
Epoch 35 | train loss: 0.309 | val loss: 0.308 | val auc: 81.30%
Epoch 36 | train loss: 0.309 | val loss: 0.326 | val auc: 80.45%
Epoch 37 | train loss: 0.302 | val loss: 0.308 | val auc: 81.87%
Epoch 38 | train loss: 0.304 | val loss: 0.311 | val auc: 81.41%
Epoch 39 | train loss: 0.302 | val loss: 0.333 | val auc: 82.16%
Epoch 40 | train loss: 0.309 | val loss: 0.310 | val auc: 81.65%
Epoch 41 | train loss: 0.309 | val loss: 0.304 | val auc: 82.30%
Epoch 42 | train loss: 0.310 | val loss: 0.326 | val auc: 80.61%
Epoch 43 | train loss: 0.305 | val loss: 0.329 | val auc: 80.86%
Epoch 44 | train loss: 0.307 | val loss: 0.308 | val auc: 80.94%
Epoch 45 | train loss: 0.299 | val loss: 0.340 | val auc: 81.32%
Epoch 46 | train loss: 0.301 | val loss: 0.382 | val auc: 81.00%
Epoch 47 | train loss: 0.306 | val loss: 0.307 | val auc: 81.83%
Epoch 48 | train loss: 0.299 | val loss: 0.331 | val auc: 81.84%
training iteration: 17 of 18                    
0.5
Epoch 49 | train loss: 0.298 | val loss: 0.308 | val auc: 81.79%
Epoch 50 | train loss: 0.285 | val loss: 0.303 | val auc: 82.27%
Epoch 51 | train loss: 0.286 | val loss: 0.296 | val auc: 82.14%
Epoch 52 | train loss: 0.286 | val loss: 0.304 | val auc: 82.33%
Epoch 53 | train loss: 0.285 | val loss: 0.302 | val auc: 82.64%
Epoch 54 | train loss: 0.286 | val loss: 0.307 | val auc: 82.50%
Epoch 55 | train loss: 0.286 | val loss: 0.300 | val auc: 82.37%
Epoch 56 | train loss: 0.286 | val loss: 0.300 | val auc: 82.29%
Epoch 57 | train loss: 0.283 | val loss: 0.306 | val auc: 82.27%
Epoch 58 | train loss: 0.285 | val loss: 0.303 | val auc: 82.17%
Epoch 59 | train loss: 0.282 | val loss: 0.296 | val auc: 82.60%
Epoch 60 | train loss: 0.283 | val loss: 0.311 | val auc: 82.91%
Epoch 61 | train loss: 0.284 | val loss: 0.295 | val auc: 82.81%
Epoch 62 | train loss: 0.285 | val loss: 0.303 | val auc: 82.42%
Epoch 63 | train loss: 0.286 | val loss: 0.299 | val auc: 82.75%
Epoch 64 | train loss: 0.281 | val loss: 0.307 | val auc: 82.79%
Epoch 65 | train loss: 0.280 | val loss: 0.299 | val auc: 82.55%
Epoch 66 | train loss: 0.286 | val loss: 0.298 | val auc: 82.80%
Epoch 67 | train loss: 0.284 | val loss: 0.298 | val auc: 82.26%
Epoch 68 | train loss: 0.279 | val loss: 0.311 | val auc: 82.20%
Epoch 69 | train loss: 0.292 | val loss: 0.297 | val auc: 83.44%
Epoch 70 | train loss: 0.284 | val loss: 0.298 | val auc: 82.50%
Epoch 71 | train loss: 0.281 | val loss: 0.302 | val auc: 82.59%
Epoch 72 | train loss: 0.282 | val loss: 0.302 | val auc: 82.61%
Epoch 73 | train loss: 0.286 | val loss: 0.294 | val auc: 83.32%
Epoch 74 | train loss: 0.282 | val loss: 0.298 | val auc: 82.85%
Epoch 75 | train loss: 0.284 | val loss: 0.299 | val auc: 82.63%
Epoch 76 | train loss: 0.281 | val loss: 0.297 | val auc: 83.66%
Epoch 77 | train loss: 0.281 | val loss: 0.305 | val auc: 82.52%
Epoch 78 | train loss: 0.282 | val loss: 0.289 | val auc: 82.84%
Epoch 79 | train loss: 0.284 | val loss: 0.297 | val auc: 82.70%
Epoch 80 | train loss: 0.279 | val loss: 0.291 | val auc: 83.73%
Epoch 81 | train loss: 0.283 | val loss: 0.294 | val auc: 83.44%
Epoch 82 | train loss: 0.280 | val loss: 0.296 | val auc: 83.07%
Epoch 83 | train loss: 0.287 | val loss: 0.302 | val auc: 82.30%
Epoch 84 | train loss: 0.277 | val loss: 0.297 | val auc: 83.29%
Epoch 85 | train loss: 0.278 | val loss: 0.316 | val auc: 82.20%
