dataSize: 40000, timeCut: 2d, nEpochs: 300, batchSize: 1024, lr: 1.000
nn.Sequential {
  [input -> (1) -> (2) -> (3) -> (4) -> (5) -> (6) -> (7) -> output]
  (1): nn.Linear(600 -> 500)
  (2): nn.ReLU
  (3): nn.Linear(500 -> 100)
  (4): nn.ReLU
  (5): nn.Dropout(0.500000)
  (6): nn.Linear(100 -> 1)
  (7): nn.Sigmoid
}
nn.BCECriterion
training iteration: 12 of 13                    
0.5
Epoch  0 | train loss: 0.435 | val loss: 0.393 | val auc: 71.38%
Epoch  1 | train loss: 0.370 | val loss: 0.371 | val auc: 73.73%
Epoch  2 | train loss: 0.362 | val loss: 0.375 | val auc: 74.96%
Epoch  3 | train loss: 0.359 | val loss: 0.383 | val auc: 75.02%
Epoch  4 | train loss: 0.354 | val loss: 0.360 | val auc: 75.89%
Epoch  5 | train loss: 0.357 | val loss: 0.361 | val auc: 76.31%
Epoch  6 | train loss: 0.346 | val loss: 0.362 | val auc: 77.28%
Epoch  7 | train loss: 0.352 | val loss: 0.358 | val auc: 77.24%
Epoch  8 | train loss: 0.349 | val loss: 0.351 | val auc: 77.92%
Epoch  9 | train loss: 0.348 | val loss: 0.343 | val auc: 77.93%
Epoch 10 | train loss: 0.343 | val loss: 0.357 | val auc: 77.33%
Epoch 11 | train loss: 0.340 | val loss: 0.344 | val auc: 78.16%
Epoch 12 | train loss: 0.347 | val loss: 0.356 | val auc: 78.86%
Epoch 13 | train loss: 0.342 | val loss: 0.344 | val auc: 78.87%
Epoch 14 | train loss: 0.339 | val loss: 0.344 | val auc: 78.76%
Epoch 15 | train loss: 0.340 | val loss: 0.352 | val auc: 79.74%
Epoch 16 | train loss: 0.336 | val loss: 0.339 | val auc: 79.35%
Epoch 17 | train loss: 0.340 | val loss: 0.397 | val auc: 78.48%
Epoch 18 | train loss: 0.337 | val loss: 0.342 | val auc: 79.31%
Epoch 19 | train loss: 0.337 | val loss: 0.347 | val auc: 79.49%
Epoch 20 | train loss: 0.335 | val loss: 0.353 | val auc: 79.84%
Epoch 21 | train loss: 0.338 | val loss: 0.337 | val auc: 80.32%
Epoch 22 | train loss: 0.329 | val loss: 0.335 | val auc: 80.34%
Epoch 23 | train loss: 0.331 | val loss: 0.339 | val auc: 79.98%
Epoch 24 | train loss: 0.334 | val loss: 0.355 | val auc: 79.59%
Epoch 25 | train loss: 0.332 | val loss: 0.345 | val auc: 80.17%
Epoch 26 | train loss: 0.328 | val loss: 0.346 | val auc: 80.42%
Epoch 27 | train loss: 0.335 | val loss: 0.334 | val auc: 80.54%
Epoch 28 | train loss: 0.331 | val loss: 0.339 | val auc: 80.20%
Epoch 29 | train loss: 0.322 | val loss: 0.367 | val auc: 80.28%
Epoch 30 | train loss: 0.322 | val loss: 0.387 | val auc: 81.14%
Epoch 31 | train loss: 0.335 | val loss: 0.330 | val auc: 80.69%
Epoch 32 | train loss: 0.327 | val loss: 0.329 | val auc: 81.21%
Epoch 33 | train loss: 0.326 | val loss: 0.345 | val auc: 81.15%
Epoch 34 | train loss: 0.315 | val loss: 0.360 | val auc: 80.43%
Epoch 35 | train loss: 0.323 | val loss: 0.353 | val auc: 81.08%
Epoch 36 | train loss: 0.328 | val loss: 0.339 | val auc: 80.49%
Epoch 37 | train loss: 0.317 | val loss: 0.336 | val auc: 81.64%
Epoch 38 | train loss: 0.329 | val loss: 0.329 | val auc: 81.19%
Epoch 39 | train loss: 0.326 | val loss: 0.329 | val auc: 81.07%
Epoch 40 | train loss: 0.321 | val loss: 0.331 | val auc: 81.10%
Epoch 41 | train loss: 0.319 | val loss: 0.325 | val auc: 81.46%
Epoch 42 | train loss: 0.320 | val loss: 0.326 | val auc: 82.04%
Epoch 43 | train loss: 0.315 | val loss: 0.331 | val auc: 81.19%
