dataSize: 40000, timeCut: 8h, nEpochs: 300, batchSize: 1024, lr: 1.000
nn.Sequential {
  [input -> (1) -> (2) -> (3) -> (4) -> (5) -> (6) -> (7) -> output]
  (1): nn.Linear(572 -> 500)
  (2): nn.ReLU
  (3): nn.Linear(500 -> 100)
  (4): nn.ReLU
  (5): nn.Dropout(0.500000)
  (6): nn.Linear(100 -> 1)
  (7): nn.Sigmoid
}
nn.BCECriterion
Epoch  0 | train loss: 0.387 | val loss: 0.358 | val auc: 70.28%
Epoch  1 | train loss: 0.353 | val loss: 0.343 | val auc: 72.10%
Epoch  2 | train loss: 0.340 | val loss: 0.355 | val auc: 73.61%
Epoch  3 | train loss: 0.336 | val loss: 0.331 | val auc: 74.25%
Epoch  4 | train loss: 0.331 | val loss: 0.334 | val auc: 74.60%
Epoch  5 | train loss: 0.331 | val loss: 0.335 | val auc: 75.48%
Epoch  6 | train loss: 0.326 | val loss: 0.346 | val auc: 74.82%
Epoch  7 | train loss: 0.328 | val loss: 0.331 | val auc: 75.17%
Epoch  8 | train loss: 0.324 | val loss: 0.327 | val auc: 75.98%
Epoch  9 | train loss: 0.325 | val loss: 0.326 | val auc: 76.19%
Epoch 10 | train loss: 0.323 | val loss: 0.330 | val auc: 76.08%
Epoch 11 | train loss: 0.318 | val loss: 0.327 | val auc: 76.73%
Epoch 12 | train loss: 0.326 | val loss: 0.329 | val auc: 77.17%
Epoch 13 | train loss: 0.321 | val loss: 0.323 | val auc: 76.49%
Epoch 14 | train loss: 0.316 | val loss: 0.329 | val auc: 77.13%
Epoch 15 | train loss: 0.321 | val loss: 0.338 | val auc: 77.36%
Epoch 16 | train loss: 0.317 | val loss: 0.330 | val auc: 76.94%
Epoch 17 | train loss: 0.314 | val loss: 0.323 | val auc: 77.19%
Epoch 18 | train loss: 0.316 | val loss: 0.328 | val auc: 77.63%
Epoch 19 | train loss: 0.316 | val loss: 0.325 | val auc: 77.99%
Epoch 20 | train loss: 0.312 | val loss: 0.365 | val auc: 77.91%
Epoch 21 | train loss: 0.312 | val loss: 0.341 | val auc: 78.09%
Epoch 22 | train loss: 0.317 | val loss: 0.325 | val auc: 78.22%
Epoch 23 | train loss: 0.314 | val loss: 0.316 | val auc: 78.05%
Epoch 24 | train loss: 0.311 | val loss: 0.319 | val auc: 78.59%
Epoch 25 | train loss: 0.315 | val loss: 0.315 | val auc: 78.57%
Epoch 26 | train loss: 0.311 | val loss: 0.322 | val auc: 78.01%
Epoch 27 | train loss: 0.307 | val loss: 0.318 | val auc: 78.73%
Epoch 28 | train loss: 0.311 | val loss: 0.319 | val auc: 79.11%
